pypi_name,version,system_name,total_downloads_alltime,downloads_last_month,downloads_last_year,name,collected_at
apache-airflow,2.6.3,Linux,59644631,1567795,25535196,Apache Airflow,2025-08-30 14:58:21.513632
apache-airflow,2.5.3,Linux,27054937,156778,7087574,Apache Airflow,2025-08-30 14:58:21.513632
apache-airflow,2.5.1,Linux,26593260,175249,5409805,Apache Airflow,2025-08-30 14:58:21.513632
apache-airflow,2.6.1,Linux,24955049,140033,7036040,Apache Airflow,2025-08-30 14:58:21.513632
apache-airflow,2.6.2,Linux,24729509,153972,7157456,Apache Airflow,2025-08-30 14:58:21.513632
apache-airflow,2.7.3,Linux,24101725,287351,9002432,Apache Airflow,2025-08-30 14:58:21.513632
apache-airflow,2.6.0,Linux,23918116,142659,7186913,Apache Airflow,2025-08-30 14:58:21.513632
apache-airflow,1.10.15,Linux,22327084,55122,1092879,Apache Airflow,2025-08-30 14:58:21.513632
apache-airflow,2.10.5,Linux,21745633,3508354,21745633,Apache Airflow,2025-08-30 14:58:21.513632
apache-airflow,2.7.2,Linux,20029597,100740,6444300,Apache Airflow,2025-08-30 14:58:21.513632
apache-airflow,2.7.1,Linux,18775407,93394,5926429,Apache Airflow,2025-08-30 14:58:21.513632
apache-airflow,2.7.0,Linux,18542611,85124,5900659,Apache Airflow,2025-08-30 14:58:21.513632
apache-airflow,2.8.0,Linux,18414047,90139,6131502,Apache Airflow,2025-08-30 14:58:21.513632
apache-airflow,2.8.1,Linux,18055366,130628,6936028,Apache Airflow,2025-08-30 14:58:21.513632
apache-airflow,2.9.1,Linux,16840360,120272,7693724,Apache Airflow,2025-08-30 14:58:21.513632
apache-airflow,2.9.3,Linux,16624812,206565,10775465,Apache Airflow,2025-08-30 14:58:21.513632
apache-airflow,2.5.2,Linux,16442376,132713,4749318,Apache Airflow,2025-08-30 14:58:21.513632
apache-airflow,2.0.2,Linux,15426560,104522,1636518,Apache Airflow,2025-08-30 14:58:21.513632
apache-airflow,2.9.2,Linux,15383305,173069,7526770,Apache Airflow,2025-08-30 14:58:21.513632
apache-airflow,2.10.2,Linux,15048112,310278,15048112,Apache Airflow,2025-08-30 14:58:21.513632
apache-airflow,2.5.0,Linux,14856616,169288,1859300,Apache Airflow,2025-08-30 14:58:21.513632
apache-airflow,2.4.3,Linux,14254478,231887,3911848,Apache Airflow,2025-08-30 14:58:21.513632
apache-airflow,2.9.0,Linux,12932297,107330,6607418,Apache Airflow,2025-08-30 14:58:21.513632
apache-airflow,2.8.3,Linux,12799811,90718,6419035,Apache Airflow,2025-08-30 14:58:21.513632
apache-airflow,2.8.2,Linux,12758935,85553,6023146,Apache Airflow,2025-08-30 14:58:21.513632
apache-airflow,2.8.4,Linux,12668057,108289,6704128,Apache Airflow,2025-08-30 14:58:21.513632
apache-airflow,2.2.2,Linux,12327421,167555,2505673,Apache Airflow,2025-08-30 14:58:21.513632
apache-airflow,2.10.0,Linux,12236907,140748,10062628,Apache Airflow,2025-08-30 14:58:21.513632
apache-airflow,2.10.3,Linux,11531465,268450,11531465,Apache Airflow,2025-08-30 14:58:21.513632
apache-airflow,1.10.12,Linux,11425674,3274,676340,Apache Airflow,2025-08-30 14:58:21.513632
apache-airflow,2.3.3,Linux,10964106,125678,1807650,Apache Airflow,2025-08-30 14:58:21.513632
apache-airflow,2.10.1,Linux,10879195,150468,10879195,Apache Airflow,2025-08-30 14:58:21.513632
apache-airflow,2.4.1,Linux,10776161,75724,1558803,Apache Airflow,2025-08-30 14:58:21.513632
apache-airflow,2.10.4,Linux,10492324,191808,10492324,Apache Airflow,2025-08-30 14:58:21.513632
apache-airflow,2.3.2,Linux,10407584,82863,1406300,Apache Airflow,2025-08-30 14:58:21.513632
apache-airflow,2.4.2,Linux,10139071,74382,1587893,Apache Airflow,2025-08-30 14:58:21.513632
apache-airflow,2.4.0,Linux,10069047,81448,1639752,Apache Airflow,2025-08-30 14:58:21.513632
apache-airflow,2.3.4,Linux,9445042,76207,1276516,Apache Airflow,2025-08-30 14:58:21.513632
apache-airflow,2.2.4,Linux,8899049,33009,828607,Apache Airflow,2025-08-30 14:58:21.513632
apache-airflow,2.2.5,Linux,8806311,40921,662701,Apache Airflow,2025-08-30 14:58:21.513632
apache-airflow,2.2.3,Linux,8790378,22382,551881,Apache Airflow,2025-08-30 14:58:21.513632
apache-airflow,2.3.0,Linux,7744358,18134,529563,Apache Airflow,2025-08-30 14:58:21.513632
apache-airflow,2.3.1,Linux,7428839,20836,534559,Apache Airflow,2025-08-30 14:58:21.513632
apache-airflow,2.1.4,Linux,6359243,51435,1122203,Apache Airflow,2025-08-30 14:58:21.513632
apache-airflow,1.10.10,Linux,5091645,12218,176168,Apache Airflow,2025-08-30 14:58:21.513632
apache-airflow,2.2.0,Linux,4649626,15498,418585,Apache Airflow,2025-08-30 14:58:21.513632
apache-airflow,2.2.1,Linux,4589934,15021,369358,Apache Airflow,2025-08-30 14:58:21.513632
apache-airflow,2.1.0,Linux,4407125,18261,391275,Apache Airflow,2025-08-30 14:58:21.513632
apache-airflow,2.1.2,Linux,4297091,15687,377825,Apache Airflow,2025-08-30 14:58:21.513632
apache-airflow,2.0.1,Linux,4062240,1702,134802,Apache Airflow,2025-08-30 14:58:21.513632
apache-airflow,2.1.3,Linux,3519416,14987,369078,Apache Airflow,2025-08-30 14:58:21.513632
apache-airflow,2.1.1,Linux,3466784,15117,365533,Apache Airflow,2025-08-30 14:58:21.513632
apache-airflow,1.10.11,Linux,3368568,3439,72852,Apache Airflow,2025-08-30 14:58:21.513632
apache-airflow,2.11.0,Linux,3181767,874184,3181767,Apache Airflow,2025-08-30 14:58:21.513632
apache-airflow,1.10.4,Linux,3066766,970,19147,Apache Airflow,2025-08-30 14:58:21.513632
apache-airflow,1.10.9,Linux,2982781,1917,390562,Apache Airflow,2025-08-30 14:58:21.513632
apache-airflow,1.10.3,Linux,2914472,2070,45677,Apache Airflow,2025-08-30 14:58:21.513632
apache-airflow,3.0.1,Linux,2497244,155707,2497244,Apache Airflow,2025-08-30 14:58:21.513632
apache-airflow,2.0.0,Linux,2459159,2693,130045,Apache Airflow,2025-08-30 14:58:21.513632
apache-airflow,3.0.0,Linux,2426385,157943,2426385,Apache Airflow,2025-08-30 14:58:21.513632
apache-airflow,1.10.6,Linux,1926067,3262,58177,Apache Airflow,2025-08-30 14:58:21.513632
apache-airflow,3.0.2,Linux,1785147,238577,1785147,Apache Airflow,2025-08-30 14:58:21.513632
apache-airflow,1.10.1,Linux,1723971,660,11271,Apache Airflow,2025-08-30 14:58:21.513632
apache-airflow,1.9.0,Linux,1615197,1385,20372,Apache Airflow,2025-08-30 14:58:21.513632
apache-airflow,1.10.7,Linux,1453869,1349,23234,Apache Airflow,2025-08-30 14:58:21.513632
apache-airflow,1.10.2,Linux,1387940,2389,43366,Apache Airflow,2025-08-30 14:58:21.513632
apache-airflow,1.10.14,Linux,1357650,2905,72526,Apache Airflow,2025-08-30 14:58:21.513632
apache-airflow,1.10.5,Linux,1034998,3230,45187,Apache Airflow,2025-08-30 14:58:21.513632
apache-airflow,3.0.3,Linux,926651,359455,926651,Apache Airflow,2025-08-30 14:58:21.513632
apache-airflow,1.10.0,Linux,704915,127,6159,Apache Airflow,2025-08-30 14:58:21.513632
apache-airflow,3.0.4,Linux,575034,575034,575034,Apache Airflow,2025-08-30 14:58:21.513632
apache-airflow,1.10.8,Linux,512684,1065,19097,Apache Airflow,2025-08-30 14:58:21.513632
apache-airflow,1.8.1,Linux,389413,66,2700,Apache Airflow,2025-08-30 14:58:21.513632
apache-airflow,1.8.2,Linux,241174,130,3501,Apache Airflow,2025-08-30 14:58:21.513632
apache-airflow,2.3.4,,240094,930,6825,Apache Airflow,2025-08-30 14:58:21.513632
apache-airflow,1.10.9,,182071,364,2672,Apache Airflow,2025-08-30 14:58:21.513632
apache-airflow,1.10.15,,175036,3975,22501,Apache Airflow,2025-08-30 14:58:21.513632
apache-airflow,2.9.1,,171035,12116,124477,Apache Airflow,2025-08-30 14:58:21.513632
apache-airflow,2.2.5,,158661,2376,22498,Apache Airflow,2025-08-30 14:58:21.513632
apache-airflow,2.4.3,,153883,1142,10171,Apache Airflow,2025-08-30 14:58:21.513632
apache-airflow,1.10.13,Linux,151766,112,3316,Apache Airflow,2025-08-30 14:58:21.513632
apache-airflow,2.6.3,,147214,3209,35238,Apache Airflow,2025-08-30 14:58:21.513632
apache-airflow,2.5.1,,141545,3971,16788,Apache Airflow,2025-08-30 14:58:21.513632
apache-airflow,2.2.2,,127660,525,8355,Apache Airflow,2025-08-30 14:58:21.513632
